Title,Year Published,Abstracts,professionalism,,,participants,,practices,,,exemplar,exemplar code,Remarks
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"Native Advertising Credibility Perceptions and Ethical Attitudes: An exploratory study among adolescents in the United States, Turkey and Israel",2020,"The current exploratory research aims to understand adolescent perceptions of credibility and ethical attitudes toward online native advertising (NA), in conjunction with persuasion knowledge, and explore how these attitudes might differ in three different cultures: U.S., Turkey and Israel. A survey employing a NA article was administered among adolescents (n = 610). The manipulation examined their ethical attitudes and credibility perceptions toward the NA articles before and after the persuasion knowledge. Findings strengthen research assumptions that most adolescents have encountered NA without recognizing it as persuasive communication. Adolescents find NA articles less credible and less ethical when they are informed about it. Moreover, results show that adolescents in general have a tendency to accept NA as a moral practice, while findings point to significant differences in responses moderated by country of origin.",0,1,0,0,1,0,1,0,"""adolescent perceptions"" - PP2
""less credible & less ethical"" ; ethical attitudes - PFV
""informed about NA"" & credibility - PCD",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
The Covert Advertising Recognition and Effects (CARE) model: Processes of persuasion in native advertising and other masked formats,2020,"Covert advertisements, or those that utilize the guise and delivery mechanisms of familiar non-advertising formats, differ from other more direct forms of advertising in several ways that are important for understanding users’ psychological responses. Research across various covert advertising formats including various forms of sponsored editorial content, other native advertising formats, and product placement has shown that variation consumers’ persuasive responses to such messages is largely driven by whether they recognize that such messages are advertising at all. After reviewing the findings of empirical research into covert advertising effects, we present a model of covert advertising recognition effects (CARE) that outlines potential antecedents and processes underlying the recognition of covert advertising, and maps several pathways to persuasive outcomes that are contingent on advertising recognition and perceptions related to the information in and perceived presentation of the advertisement itself.",0,1,0,0,1,0,1,0,"""understanding users’ psychological responses"" ; ""persuasive responses"" - PP2
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Examining Consumers’ Recognition of Native and Banner Advertising on News Website Home Pages ,2020,"Native advertising has grown tremendously as consumers have shifted attention from traditional to digital media. Using an eye-tracking method and a general population sample, an online survey examined whether consumers could recognize native ads and banner ads on digital news website home pages with similar speed and effectiveness. It also investigated the relationship between ad skepticism and recognition of native and banner advertising. Results suggest that native ads are more discoverable, or more quickly noticed, than banner ads. However, only 68% of participants could recognize at least one native ad, and those who did took significantly longer to recognize native than banner units as ads. Even among consumers with high skepticism toward advertising, who should have richer knowledge about the strategies and tactics of advertisers, no relationship was found between ad skepticism and native ad recognition.",0,0,1,0,1,0,1,0,"""ads are more discoverable & quickly noticed"" economic benefits vs banner ads - PFE
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Activating persuasion knowledge in native advertising: the influence of cognitive load and disclosure language,2020,"Incorporating the theory of limited cognitive capacity and persuasion knowledge model, this article examines the interaction effect between cognitive load and disclosure language on the activation of persuasion knowledge and perceived manipulativeness of native advertising. Two experimental studies suggested that individuals with varied levels of cognitive load responded to native advertisements using explicit versus implicit disclosure language differently. The current research contributes to theory building in the native advertising literature and provides practical implications to advertising practitioners and regulatory agencies.",0,0,0,0,1,0,1,0,"""individuals"" - PP2 
""persuasion knowledge & perceived manipulativeness"" - PCD
",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Sponsorship Disclosure and Consumer Deception: Experimental Evidence from Native Advertising in Mobile Search ,2020,"Recent advances in advertising technology have lead to the development of “native advertising,” which is a format of advertising that mimics the other nonsponsored content on the medium. Whereas advertisers have rapidly embraced the format on a variety of digital media, regulators have expressed serious concerns about whether this format materially deceives consumers because the advertising disclosure is incomplete or inappropriate. This has reignited a longstanding debate about the distinction between advertising and content in media markets, and how it affects consumers. This paper contributes to this debate by providing empirical evidence from a randomized experiment conducted on native advertising at a mobile restaurant search platform. We experimentally vary the format of paid-search advertising, the extent to which ads are disclosed to over 200,000 users, and track their anonymized browsing behavior including clicks and conversions. The research design we propose uses comparisons of revealed preferences under experimentally manipulated treatment and control conditions to assess the potential for consumer confusion and deception. A design based on revealed preference speaks to the “material” standard of regulators, helps assess confusion while avoiding directly questioning consumers, and may be useful in other settings. Implementing the design, we find that native advertising benefits advertisers and detect no evidence of deception under typically used formats of disclosure currently used in the paid-search marketplace. Further investigation shows that the incremental conversions due to advertising are not driven by users clicking on the native ads. Rather, the benefits from advertising are driven by users seeing the ads and later clicking on the advertiser’s “organic” listings. Thus, we find little support of native advertising tricking users into clicking and driving them to advertisers as typically feared; instead, users seem to view ads and deliberately evaluate the advertisers. Furthermore, mere exposure seems sufficient to produce most of the incremental effect of advertising.",0,1,1,0,1,0,1,0,"""decevives consumers""; ""tricking"" - PFV
""advertising disclosure"" - PCD
""consumers"" - PP2
""Incremental affect of native advertising"" - PFE",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Young adults’ recognition of native advertising disguised as news ,2020,"Purpose – The purpose of this paper is to test hypotheses on the effects of native advertising on young media consumers. First, it aims to discover whether the young audience activates news-based schema or advertising schema when exposed to different themes of native advertising. Second, this research tests whether there is a relationship between the theme of native advertising and the credibility of the media in which it is placed and the ability of young media consumers to recognize the advertising. Third, it attempts to seek a possible relationship between the recognition of native advertising and the credibility of the advertiser.


Design/methodology/approach – An experimental study was carried out using 186 university students in the greater Jakarta area whose ages ranged between 18 and 22 years. Participants were randomly assigned to six groups (2 - 3 experimental design) and asked to respond to a set of questions related to their awareness of native advertising. They were also asked their opinions on the advertiser’s credibility before and after they were told that the content was native advertising.

Findings – Results show that most of these young media consumers could not spot native advertising and have difficulties in recognizing political native advertising. The findings also point out a more profound decline in advertiser credibility among groups exposed to political native advertising compared to nonpolitical native advertising.

Research limitations/implications – Results show that most of these young media consumers could not spot native advertising and have difficulties in recognizing political native advertising. The findings also point out a more profound decline in advertiser credibility among groups exposed to political native advertising compared to non-political native advertising.

Originality/value – This research shows that the theme of the native advertising has a significant influence on the ability of media consumers to recognize native advertising. The results indicate that non-commercial native advertising is highly deceptive. This finding is valuable for the improvement of advertising regulation, especially on non-commercial native advertising.",0,1,0,0,1,0,1,0,"""university students; young media consumers"" - PP2
""recognition of native advertising & credibility of advertiser"" - PCD 
""non-commercial native advertising is highly deceptive"" - PFV


",,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
