Title,Year Published,Abstracts,professionalism,,,participants,,practices,,,exemplar,exemplar code
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Making (Branded) News: The Corporate Co-optation of Online Journalism Production ,2020,"As traditional news outlets decline and corporations cultivate publisher ambitions, brand journalism (i.e., native advertising and content marketing) has grown robustly. This paper examines and critiques the various ways in which those corporations have adopted and mirror news production practices, given the “technologics” of convergence culture and the political economy pressures of our media era. The research draws upon 28 in-depth interviews with brand journalism professionals who operate in the United States along with years of trade press coverage of the phenomenon. Findings illustrate how brand journalism is informed by traditional reporting fundamentals and techniques, the affordances and demands of online environments, and industrial shifts in media labor allocation.",0,1,0,1,0,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
"How news went guerrilla marketing: a history, logic, and critique of brand journalism",2020,"For decades, product placement and branded content have invaded more entertainment-oriented media forms; today, the rise of brand journalism (i.e. native advertising and content marketing) suggests that advertisers are now targeting news as a genre for commercial schemes. This article examines that practice through a critical analysis of advertising industry discourse including 28 in-depth interviews with brand journalism practitioners in the United States along with a decade of trade press coverage. It sketches the first historical trajectory of brand journalism and contextualizes the media industry factors that motivate participants’ exploration of it as a promotional vehicle. Drawing upon guerrilla marketing theory, this article further documents how brand journalism evinces a fundamental commercial self-effacement at its core – in mimicking journalistic style and substance – and thus portends a redefinition of advertising as a visible mass communication form.",0,1,1,1,0,1,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
“It’s Complicated”: Cognitive Dissonance and the Evolving Relationship Between Editorial and Advertising in US Newsrooms ,2020,"Editorial and commercial functions in news organizations operate under conflicting values which dictate their separation lest commercial interests influence editorial decision-making. Yet this historic partition is challenged by the deterioration of the old advertiser-sponsored business model. The relationship is growing closer, at the risk of causing psychological discomfort to those involved. This study assesses what happens when senior editors encounter cognitive dissonance as they reconstruct the editorial-commercial relationship. It finds reluctance to embrace this evolving relationship, revealed in the fragmented and contradictory syntax editors use to talk about it as they are torn between the old (ethically driven) norm of how things should be, and the emerging (economically driven) norm of how things are. Yet, the paper suggests that cognitive dissonance may be the preferred state for any newsworker in an organization tasked with delivering news to a community which is not prepared to pay the full price for it, requiring some form of external subsidy. Rather than being dissonance that requires resolution, it becomes a vital, desirable tension whose perpetuation gives value to work.",0,1,0,1,0,0,0,1,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
‘We no longer live in a time of separation’: A comparative analysis of how editorial and commercial integration became a norm ,2020,"The separation between editorial and business activities of news organisations has long been a fundamental norm of journalism. Journalists have traditionally considered this separation as both an ethical principle and an organisational solution to preserve their professional autonomy and isolate their newsrooms from profit-driven pressures exerted by advertising, sales and marketing departments. However, many news organisations are increasingly integrating their editorial and commercial operations. Based on 41 interviews conducted at 12 newspapers and commercial broadcasters in six European countries, we analyse how editors and business managers describe the changing relationship between their departments. Drawing on previous research on journalistic norms and change, we focus on how interviewees use rhetorical discourses and normative statements to de-construct traditional norms, build new professionally accepted norms and legitimise new working practices. We find, first, that the traditional norm of separation no longer plays the central role that it used to. Both editors and managers are working to foster a cultural change that is seen as a prerequisite for organisational adaptation to an increasingly challenging environment. Second, we find that a new norm of integration, based on the values of collaboration, adaptation and business thinking, has emerged. Third, we show how the interplay between declining and emerging norms involves a difficult negotiation. Whereas those committed to the traditional norm see commercial considerations as a threat to professional autonomy, our interviewees see the emerging norm as a new way of ensuring professional autonomy by working with other parts of the organisation to jointly ensure commercial sustainability.",0,1,1,1,0,0,0,0,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,
Camouflaging Church as State: An exploratory study of journalism’s native advertising,2020,"This paper explores the increasing trend of adopting native advertising in the digital editions of traditional news media outlets. Native advertising is defined here as a form of paid media where the commercial content is delivered within the design and form of editorial content, as an attempt to recreate the user experience of reading news instead of advertising content. Methodologically, this study examines 12 news websites of legacy newspapers from Sweden, Spain, the United Kingdom, and the United States, and analyzes the adoption of native advertising during the span of January 2015. Subsequently, these advertisements are analyzed in terms of type, form, function, integration, measurement, disclosure, and authorship. The results show that while the degree of implementation is still modest, the way in which it is implemented is uneven across countries.",0,0,1,1,0,1,1,0,,
