Title,Year Published,Abstracts,professionalism,,,participants,,practices,,,exemplar,exemplar code,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Camouflaged propaganda: A survey experiment on political native advertising ,2020,"We examine a new form of propaganda, political native advertising, in which political actors, including foreign governments, buy space in independent media outlets to publish advertisements that are camouflaged as standard news stories. Those who engage in this form of propaganda hope to exploit the higher credibility of the hosting media site to enhance the persuasiveness of their message. Despite the obvious political implications and ethical issues at stake, political native advertising has received almost no scholarly attention. Our article begins to redress this imbalance. Using an online survey experiment with real political native advertisements in the Washington Post and The Telegraph bought by the Chinese government, we provide some of the first empirical evidence on basic but important features of political native advertising. We find, among other things, that respondents struggle to distinguish political advertisements from standard news stories regardless of their level of education and media literacy, that political advertisements are more convincing if they appear on and are perceived as news from an independent hosting media site than in a government-controlled news outlet, and that trust in the hosting media site declines if the political advertisement is detected.",0,1,0,1,1,0,1,1,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Exploring readers’ evaluations of native advertisements in a mobile news app ,2019,"Mobile news consumption is rising quickly, just as the appearance of native advertisements on mobile news platforms, yet little is known about readers’ mobile native advertising recognition and perceptions. This qualitative study, therefore, explores how readers recognise and perceive in-feed native advertisements in a mobile news app. Usability tests combined with interviews with 24 users of a national news app showed that in the mobile environment, readers are generally able to recognise native advertisements. The findings suggest four key factors that influence readers’ evaluations: (1) perceived utility, (2) source credibility of the advertiser, (3) perceived control, and (4) recognisability. The results suggest that besides readers’ advertising recognition, the advertisements’ content and context play an important role in explaining readers’ perceptions of native advertising.",0,0,1,0,1,1,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Is That My Friend or an Advert? The Effectiveness of Instagram Native Advertisements Posing as Social Posts ,2019,"Advertisers have turned attention to the popular photograph-based social network Instagram. One technique for reaching consumers has been advertisements resembling posts one’s friends might make. These native advertisements use Instagram’s conventions and may be unrecognized as sponsored messages at first glance, when browsing one’s Instagram. A within-subjects experiment (N = 482) tested these native ads against both user-generated posts and traditional advertisements. These message types were presented in a repeated-measures design, rotated across three well-known brands, and interspersed with distractor posts. Results indicated that the three message types produced similar effects on ad attitude, brand attitude, and behavioral intention. However, user-generated social posts produced more credibility and social comparison than native ads, and native ads produced more credibility and social comparison than advertisements. This yielded indirect effects on dependent variables of interest, despite the lack of total effects. Sponsorship recognition was relatively high for native ads but did not mediate effects.",0,0,1,0,1,1,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Selling their souls to the advertisers? How native advertising degrades the quality of prestige media outlets ,2019,"Native advertising – disguising sponsored content as journalistic material – is not a new phenomenon, but only recently has it reached news media outlets that stand for high-quality journalism. To investigate the potential impact of native advertising on perceived media quality, a 2 (source: low vs. high quality media outlet) _ 3 (content: ad-free article vs. declared native advertising article vs. undeclared native advertising article) factorial between-subjects experiment was conducted. This experimental study found that news media outlets that stand for high-quality journalism damage their quality as perceived by recipients when publishing properly declared native advertising.",0,0,1,1,1,0,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Native Advertising: Is Deception an Asset or a Liability? ,2018,"Native advertising is among the most ethically charged strategies of digital communications. The ethical controversies are inherent in native advertising’s definition—paid advertising that is disguised to make readers think it is editorial content of digital publishers. Drawing on moral philosophy, the persuasion knowledge model, the social responsibility of the press theory, schema theory, and psychological reactance theory, this project demonstrated that consumers’ perceptions of native advertising’s deceptiveness increased advertising skepticism, irritation, and avoidance. In contrast, higher media trust resulted in lower perceived deceptiveness, skepticism, irritation, and avoidance. Thus, advertisers and online publishers will benefit from explicit disclosure of sponsorship that is responsible and transparent.",0,1,1,0,1,0,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
"A Tale of Two Sources in Native Advertising: Examining the Effects of Source Credibility and Priming on Content,Organizations, and Media Evaluations ",2016,"In the strategic communication field, native advertising has been hailed as the next big trend. However, this type of marketing technique may negatively affect the perceptions of brands as well as media outlets that provide such content due to its obscurity of persuasive intent and ambiguity of the content source. The current study examined these issues by conducting a 2 (priming: presence vs. absence) _ 2 (media credibility: high vs. low) _ 2 (corporate credibility: high vs. low) factorial between-subjects experiment. A total of 500 participants recruited from Amazon Mechanical Turk completed the online experiment. Findings suggested that priming of native advertising information would significantly improve users’ ad recognition and change their content perception. In addition, a series of three-way interaction effects suggested that the interaction between the two types of source credibility (media and corporate) tend to work as a function of priming of native advertising information, which could completely change individuals’ perception of the ad content and evaluation of the media source in the future, but not their future corporate evaluation. Important theoretical as well as practical implications have also been discussed in this article.",1,1,1,1,1,0,1,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
Predicting Pre-click Quality for Native Advertisements ,2016,"Native advertising is a specific form of online advertising where ads replicate the look-and-feel of their serving platform. In such context, providing a good user experience with the served ads is crucial to ensure long-term user engagement. In this work, we explore the notion of ad quality, namely the effectiveness of advertising from a user experience perspective. We design a learning framework to predict the pre-click quality of native ads. More specifically, we look at detecting offensive native ads, showing that, to quantify ad quality, ad offensive user feedback rates are more reliable than the commonly used click-through rate metrics. We then conduct a crowd-sourcing study to identify which criteria drive user preferences in native advertising. We translate these criteria into a set of ad quality features that we extract from the ad text, image and advertiser, and then use them to train a model able to identify offensive ads. We show that our model is very effective in detecting offensive ads, and provide in-depth insights on how different features affect ad quality. Finally, we deploy a preliminary version of such model and show its effectiveness in the reduction of the offensive ad feedback rate.",0,0,1,0,1,1,0,0,,,
,,,PFR,PFV,PFE,PP1,PP2,PCC,PCD,PCS,,,
